Background_Power[0][0],ACT_PRE_Power[0][0],Burst_Power[0][0],Refresh_Power[0][0],Bandwidth[0][0][0],Average_Latency[0][0][0],Bandwidth[0][0][1],Average_Latency[0][0][1],Bandwidth[0][0][2],Average_Latency[0][0][2],Bandwidth[0][0][3],Average_Latency[0][0][3],Bandwidth[0][0][4],Average_Latency[0][0][4],Bandwidth[0][0][5],Average_Latency[0][0][5],Bandwidth[0][0][6],Average_Latency[0][0][6],Bandwidth[0][0][7],Average_Latency[0][0][7],Rank_Aggregate_Bandwidth[0][0],Rank_Average_Bandwidth[0][0],Aggregate_Bandwidth[0],Average_Bandwidth[0],
0.154318,0.00115344,0.00039744,0.0300322,0.000397364,43.5,0.000397364,43.5,0.000397364,43.5,0.000397364,43.5,0.000397364,43.5,0,-nan,0.000397364,43.5,0,-nan,0.00238419,0.00238419,0.00238419,0.000298023,
0.153152,0.00019224,6.624e-05,0.0300322,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0.000397364,43.5,0,-nan,0,-nan,0.000397364,0.000397364,0.000397364,4.96705e-05,
0.153152,0.00019224,6.624e-05,0.0300322,0,-nan,0,-nan,0,-nan,0,-nan,0.000397364,43.5,0,-nan,0,-nan,0,-nan,0.000397364,0.000397364,0.000397364,4.96705e-05,
0.152919,0,0,0.0300322,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,0,0,0,
0.153622,0.00019224,6.624e-05,0.0316128,0,-nan,0,-nan,0,-nan,0.000397364,43.5,0,-nan,0,-nan,0,-nan,0,-nan,0.000397364,0.000397364,0.000397364,4.96705e-05,
0.153152,0.00019224,6.624e-05,0.0300322,0,-nan,0,-nan,0.000397364,43.5,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0.000397364,0.000397364,0.000397364,4.96705e-05,
0.153614,0.0009612,0.0003312,0.0300322,0.000397364,39,0.000794729,43.5,0,-nan,0,-nan,0,-nan,0.000397364,43.5,0,-nan,0.000397364,43.5,0.00198682,0.00198682,0.00198682,0.000248353,
0.156057,0.00403704,0.00139104,0.0300322,0.00119209,43.5,0.000794729,41.25,0.00119209,40.5,0.000794729,39,0.000794729,41.25,0.000794729,41.25,0.00158946,42.375,0.00119209,42,0.00834465,0.00834465,0.00834465,0.00104308,
0.156175,0.00365256,0.00125856,0.0316128,0.000397364,39,0.000794729,41.25,0.000794729,41.25,0.00158946,42.375,0.00119209,42,0.00119209,43.5,0.000794729,41.25,0.000794729,41.25,0.00754992,0.00754992,0.00754992,0.00094374,
0.155069,0.00269136,0.00092736,0.0300322,0.000794729,41.25,0.00119209,42,0.00119209,43.5,0.000794729,41.25,0.000794729,41.25,0.000397364,39,0,-nan,0.000397364,43.5,0.0055631,0.0055631,0.0055631,0.000695388,
0.152919,0,0,0.0300322,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,0,0,0,
